tic_id,obj_name,period_days,t0_bjd,depth_ppm,sde,status
1000000768245010,1SWASP J000000.76-824501.0,0.514040140401404,2453866.7084027776,2907052.9936535633,63.38217830932607,Unvetted Candidate
1000001478201536,1SWASP J000001.47-820153.6,0.5302253022530226,2453867.171344907,1276232.4715652494,14.658923893297905,Unvetted Candidate
1000004048311374,1SWASP J000004.04-831137.4,0.5,2453867.114425926,16099437.219444536,129.595939391418,Unvetted Candidate
1000009348243572,1SWASP J000009.34-824357.2,0.514040140401404,2453866.7084027776,1163581.123780646,11.508328768758362,Unvetted Candidate
1000011248209525,1SWASP J000011.24-820952.5,0.5099450994509945,2453867.1503564813,1246059.7778878731,13.973984730629779,Unvetted Candidate
1000026498358169,1SWASP J000026.49-835816.9,0.5298352983529835,2453866.7184837963,2772636.263302455,57.65633886434852,Unvetted Candidate
1000035708239256,1SWASP J000035.70-823925.6,0.5099450994509945,2453867.1500046295,1578416.4904971216,18.685489631049375,Unvetted Candidate
1000055448329252,1SWASP J000055.44-832925.2,0.9976449764497647,2453866.777449074,1176015.321081369,10.372590265635862,Unvetted Candidate
1000102218151305,1SWASP J000102.21-815130.5,0.5,2453867.1143333334,9680694.240354525,93.71584097523326,Unvetted Candidate
1000105138235511,1SWASP J000105.13-823551.1,0.997839978399784,2453866.752391204,1976562.4136468822,33.20779128785351,Unvetted Candidate
1000106388348390,1SWASP J000106.38-834839.0,0.5298352983529835,2453866.7184722223,2865491.3350453996,78.00488561659253,Unvetted Candidate
1000109528330127,1SWASP J000109.52-833012.7,0.9968649686496864,2453866.8714490742,2167812.4104383076,42.29469582165311,Unvetted Candidate
1000112288201185,1SWASP J000112.28-820118.5,0.5,2453867.123344907,10226564.270250333,52.29130838678037,Unvetted Candidate
1000126838331223,1SWASP J000126.83-833122.3,0.5943809438094381,2453866.728449074,1602258.6583645043,16.687013253976144,Unvetted Candidate
1000154418223082,1SWASP J000154.41-822308.2,0.5,2453867.114368056,4684635.488872559,10.972904831802119,Unvetted Candidate
1000210588202387,1SWASP J000210.58-820238.7,5.567125671256712,2453872.2413449073,3652475.222020228,13.340575247471714,Unvetted Candidate
1000217248343547,1SWASP J000217.24-834354.7,0.5001950019500195,2453867.083460648,8610090.020429315,74.13365015989648,Unvetted Candidate
1000221508300531,1SWASP J000221.50-830053.1,0.8281882818828188,2453867.4594143517,1687911.139089966,22.792352107711892,Unvetted Candidate
1000222318308007,1SWASP J000222.31-830800.7,0.514040140401404,2453866.7084259256,1744602.6452823875,25.870926314373584,Unvetted Candidate
1000227668239258,1SWASP J000227.66-823925.8,0.5302253022530226,2453867.179391204,4304646.138113385,138.97483780780857,Unvetted Candidate
1000232868359402,1SWASP J000232.86-835940.2,0.5005850058500585,2453867.0234837965,3990913.0064966143,15.927386625423845,Unvetted Candidate
1000234288134502,1SWASP J000234.28-813450.2,0.9927699276992771,2453867.6363101853,2935684.0642042924,34.47296369929212,Unvetted Candidate
1000239408155255,1SWASP J000239.40-815525.5,0.997839978399784,2453866.7523333333,1391277.8799984031,13.549578975609956,Unvetted Candidate
1000239538205318,1SWASP J000239.53-820531.8,0.5,2453867.1143449075,7668364.35923854,29.40190597301995,Unvetted Candidate
1000246408354169,1SWASP J000246.40-835416.9,0.514040140401404,2453866.708472222,1089899.269009901,8.909103124412374,Unvetted Candidate
1000251198341328,1SWASP J000251.19-834132.8,0.5298352983529835,2453866.7184606483,1775353.3032032386,28.366914160751858,Unvetted Candidate
1000251588139078,1SWASP J000251.58-813907.8,0.5302253022530226,2453867.171321759,5277968.934726024,264.64108272136315,Unvetted Candidate
1000253978322240,1SWASP J000253.97-832224.0,0.997839978399784,2453866.7524375,1632686.0596854563,23.990973925420995,Unvetted Candidate
1000306038322411,1SWASP J000306.03-832241.1,0.997839978399784,2453866.7524375,3509859.8438982116,110.8720451142826,Unvetted Candidate
1000307848252468,1SWASP J000307.84-825246.8,0.514040140401404,2453866.7084027776,1218722.6378052414,10.39699407529276,Unvetted Candidate
1000314678301457,1SWASP J000314.67-830145.7,0.50780007800078,2453866.931414352,18889424.005942166,178.40516963813207,Unvetted Candidate
1000316468309074,1SWASP J000316.46-830907.4,0.5005850058500585,2453867.0334259258,14182485.019619146,201.14288133172153,Unvetted Candidate
1000324518212433,1SWASP J000324.51-821243.3,0.514040140401404,2453866.708356481,1177594.091137028,11.787186669587165,Unvetted Candidate
1000324568248089,1SWASP J000324.56-824808.9,0.5955509555095551,2453920.235946759,4769829.365769988,125.1319969820895,Unvetted Candidate
1000339598203463,1SWASP J000339.59-820346.3,0.5298352983529835,2453866.7183449073,1668987.495478146,25.06967334056173,Unvetted Candidate
1000340048209447,1SWASP J000340.04-820944.7,0.5,2453867.123356481,6715499.266964131,22.548965202297893,Unvetted Candidate
1000343338324406,1SWASP J000343.33-832440.6,0.5423154231542315,2453867.1144375,1180213.2749286112,8.357420245906305,Unvetted Candidate
1000344808134577,1SWASP J000344.80-813457.7,0.5005850058500585,2453867.135310185,1729688.612714202,10.47137943933613,Unvetted Candidate
1000352448336082,1SWASP J000352.44-833608.2,0.5298352983529835,2453866.7184490743,1253070.3502438066,14.131667723941224,Unvetted Candidate
1000400598145000,1SWASP J000400.59-814500.0,0.827408274082741,2453866.728321759,1292707.6774069208,13.368745113814365,Unvetted Candidate
1000413518348123,1SWASP J000413.51-834812.3,0.5302253022530226,2453867.171460648,2001131.6228849906,36.04074994899285,Unvetted Candidate
1000424558228594,1SWASP J000424.55-822859.4,0.997839978399784,2453866.7523680557,1236368.919623823,12.993168896000123,Unvetted Candidate
1000433598233301,1SWASP J000433.59-823330.1,0.9976449764497647,2453866.7773796297,1499981.5025379441,15.74961155569192,Unvetted Candidate
1000435388230288,1SWASP J000435.38-823028.8,0.997839978399784,2453866.7529814816,2282692.77770578,41.68549053912104,Unvetted Candidate
1000438258153592,1SWASP J000438.25-815359.2,0.5,2453867.123333333,13958338.976981247,97.41761349815695,Unvetted Candidate
1000443398238119,1SWASP J000443.39-823811.9,0.514040140401404,2453866.7083796295,2192724.876889888,40.8683602787201,Unvetted Candidate
1000445358140326,1SWASP J000445.35-814032.6,0.5298352983529835,2453866.7183101852,943788.4434268479,8.016629633514654,Unvetted Candidate
1000450178150473,1SWASP J000450.17-815047.3,0.514040140401404,2453866.708321759,3966375.875473671,110.12496309877672,Unvetted Candidate
1000457148205414,1SWASP J000457.14-820541.4,0.503510035100351,2453867.0733449073,11611617.627785655,67.41483196695128,Unvetted Candidate
1000500768344407,1SWASP J000500.76-834440.7,0.5298352983529835,2453866.7184606483,1303449.8736669146,14.441343371879514,Unvetted Candidate
1000508568220307,1SWASP J000508.56-822030.7,1.060630606306063,2453867.6903564814,2845207.134606127,60.714027291102056,Unvetted Candidate
