tic_id,obj_name,period_days,t0_bjd,depth_ppm,sde,status
37605833,,0.840539774,1468.513554,237.5084831,16.92090665,Unvetted Candidate
209429745,,14.63698397,1424.663712,2268.547858,138.3895682,Unvetted Candidate
269916987,,14.11944577,1639.777711,6156.394641,178.0396869,Unvetted Candidate
367192437,,19.44607819,2511.680319,1006.586037,102.4643639,Unvetted Candidate
266903530,,1.959275437,1327.117338,558.299224,17.87239869,Unvetted Candidate
8997988,,0.948439174,1354.200761,168.9171904,25.85548219,Unvetted Candidate
370083358,,4.835938125,2039.707364,1607.525924,14.37410093,Unvetted Candidate
61259135,,18.05715209,2476.819863,743.8684108,91.88184776,Unvetted Candidate
344927756,,2.736847366,1518.869235,752.5485806,17.3275991,Unvetted Candidate
27068113,,18.83018193,1872.260875,1063.175818,20.67533462,Unvetted Candidate
103580569,,12.48074476,1691.149588,1374.526908,340.2239956,Unvetted Candidate
198585669,,1.930141259,1957.215166,307.9545257,18.15154882,Unvetted Candidate
318495709,,0.587455415,2698.829417,310.0329046,12.09044832,Unvetted Candidate
301677323,,1.357897932,2553.45275,589.6447021,14.49169056,Unvetted Candidate
268634816,,5.024570999,2118.668786,1331.126135,13.77192485,Unvetted Candidate
114810394,,4.486976642,1354.791273,989.3480387,17.6218644,Unvetted Candidate
160004314,,13.09604549,1410.917955,2085.510748,17.60147583,Unvetted Candidate
219234065,,4.136217193,1389.18957,367.6161936,17.18062022,Unvetted Candidate
9857693,,8.562122686,1419.463652,963.513638,22.20685702,Unvetted Candidate
44889718,,15.88166229,1422.639167,645.03801,18.3517913,Unvetted Candidate
60660286,,14.32487693,2801.050415,2563.281796,14.93274086,Unvetted Candidate
35400809,,13.59772187,2797.190349,803.6601916,54.036445,Unvetted Candidate
13919679,,1.731676399,1764.860775,1053.662862,14.26256762,Unvetted Candidate
89257479,,14.14369351,1335.241985,1077.483824,56.28992192,Unvetted Candidate
224297979,,16.3498819,1725.728478,889.0693074,12.97996827,Unvetted Candidate
194730575,,14.11025058,1790.671817,2147.655987,19.52668348,Unvetted Candidate
21042633,,0.94014589,1816.489571,436.7939967,12.12999701,Unvetted Candidate
244135966,,3.071339332,2448.310826,745.7684053,17.34773051,Unvetted Candidate
47875078,,1.145407718,1683.439371,275.014239,17.05178903,Unvetted Candidate
116305096,,5.634904317,1930.011049,1123.406344,15.34530443,Unvetted Candidate
284596345,,0.704841515,1683.904462,161.9103963,17.86571944,Unvetted Candidate
277226226,,9.841194327,2563.222438,977.8395551,12.43249512,Unvetted Candidate
266723295,,15.08316101,1391.129694,1338.534873,61.98434789,Unvetted Candidate
158644485,,16.03502151,1552.371628,950.0799065,70.15110582,Unvetted Candidate
193324137,,12.28453298,1544.392839,1618.002917,28.03483071,Unvetted Candidate
384603440,,13.67797043,1627.435908,2231.311048,94.64591913,Unvetted Candidate
253048570,,2.059828378,1900.52229,331.1278551,15.50785164,Unvetted Candidate
87601908,,5.849354912,1934.739549,1422.587436,16.08727907,Unvetted Candidate
148917709,,5.604419846,1684.352302,276.7295074,18.84447797,Unvetted Candidate
350337861,,16.60639931,2533.355984,1774.828104,15.53241862,Unvetted Candidate
56358141,,0.577517057,2500.581219,241.7892518,22.50004341,Unvetted Candidate
26304665,,1.159856222,2989.659735,475.3091765,14.41617766,Unvetted Candidate
145015021,,4.729546383,1571.971251,894.1804993,21.63010476,Unvetted Candidate
322396569,,13.22639995,1751.378027,1207.393945,70.31858128,Unvetted Candidate
326092796,,1.058009472,1386.180479,576.9693645,17.63115802,Unvetted Candidate
403265752,,0.941733739,1325.418785,408.7907207,17.89754951,Unvetted Candidate
347389426,,19.42662705,1946.506083,1607.77678,27.86215839,Unvetted Candidate
201532549,,5.314641798,1657.673772,1577.304886,14.50067696,Unvetted Candidate
