ID,Tmag,RA,Dec
100617302,-50.7005861451944,0.025824311282917,0.0
101258556,32.4542202573221,0.0333973752002582,1.0
128791197,-44.2597541151097,0.0354135486097227,1.0
13919679,27.7402807580688,0.0326017733104501,1.0
144436080,-46.9155933821795,0.0222770758332246,1.0
150269579,42.2608482378829,0.37839266361165,1.0
150651495,29.0744683513406,0.0285073032662222,1.0
156067195,45.1309300493609,0.0320500273185316,1.0
167487503,-7.754073812612471,0.020660731572246495,1.0
16879111,30.451593487259,0.0215951853068879,1.0
189792420,-3.31553441487321,0.0340358929621705,1.0
200644937,-43.5869343727888,0.0241800781963712,1.0
204721829,-28.909582550670695,0.043648473477655,1.0
209429745,-30.2338613199682,0.0227150570245602,1.0
21042633,45.9805300026944,0.046119654351654896,1.0
238750043,42.3046629300224,0.0319413955458335,1.0
239067045,38.434950719850896,0.0489189268802395,1.0
265337716,-67.0916400370064,0.0226612548418075,1.0
265468126,-63.4644125057201,0.07646080837279638,1.0
282782590,13.8903969566232,0.0329279500458594,1.0
361557261,18.613239251536495,0.0438629196857563,0.0
373634783,47.6460446832071,0.0336733794680524,1.0
37605833,-28.3818163958596,0.027108140568196295,1.0
383467590,20.0808624308119,0.0508183475015444,1.0
383667729,-84.5119481643411,0.0173289977892566,1.0
39927704,-6.767683635202889,0.0287300041148076,1.0
422890004,0.461424814581579,0.0369808180853496,1.0
423397215,-8.19861613367807,0.0291076405566883,1.0
437338174,-23.7431464005226,0.100774097672495,1.0
439412823,-12.8998279263521,0.038204933875606896,1.0
5774131,-13.5681507242745,0.0270667475551833,0.0
776848,-24.372148520941295,0.0247361480142474,1.0
92242479,-48.4783716527506,0.0223959434672738,1.0
